generator,backend,dataset,seed,method,split,sample_scope,evidence_role,n_documents,coverage,n_rejected,n_assigned_topics,mapped_accuracy,purity,inverse_purity,harmonic_purity,ari,nmi,assigned_mapped_accuracy,assigned_purity,assigned_inverse_purity,assigned_harmonic_purity,assigned_ari,assigned_nmi
GPT-4.1 mini,cloud,bills,11,hybrid,test,eligible,release_revalidation_previously_seen,376,0.9388297872340424,23,14,0.3484042553191489,0.3537234042553192,0.4734042553191489,0.4049052473147704,0.162241864536688,0.3909168119940396,0.3626062322946176,0.3654390934844193,0.5042492917847026,0.423766505799522,0.1721940553027752,0.405244702738502
GPT-4.1 mini,cloud,bills,11,initial,test,eligible,release_revalidation_previously_seen,376,0.9388297872340424,23,10,0.3351063829787234,0.3351063829787234,0.5079787234042553,0.4038190482582723,0.1646950533415115,0.3767892341102084,0.3456090651558073,0.3456090651558073,0.5410764872521246,0.4217976450144358,0.1739912253412016,0.3904405383719154
GPT-4.1 mini,cloud,bills,11,direct_hybrid,test,eligible,release_revalidation_previously_seen,376,1.0,0,14,0.3590425531914893,0.3776595744680851,0.4680851063829787,0.4180382711093269,0.1837612182921514,0.412854575047573,0.3590425531914893,0.3776595744680851,0.4680851063829787,0.4180382711093269,0.1837612182921514,0.412854575047573
GPT-4.1 mini,cloud,bills,11,direct_initial,test,eligible,release_revalidation_previously_seen,376,1.0,0,10,0.3590425531914893,0.3643617021276595,0.5771276595744681,0.4467033297271306,0.1915494544510538,0.4079808622703827,0.3590425531914893,0.3643617021276595,0.5771276595744681,0.4467033297271306,0.1915494544510538,0.4079808622703827
GPT-4.1 mini,cloud,bills,11,bertopic,test,eligible,release_revalidation_previously_seen,376,1.0,0,2,0.1037234042553191,0.1037234042553191,0.9840425531914894,0.1876658169900639,0.0105860969210734,0.1098066181312095,0.1037234042553191,0.1037234042553191,0.9840425531914894,0.1876658169900639,0.0105860969210734,0.1098066181312095
GPT-4.1 mini,cloud,bills,11,kmeans,test,eligible,release_revalidation_previously_seen,376,1.0,0,14,0.3723404255319149,0.3776595744680851,0.5531914893617021,0.4488753799392097,0.1799942004614962,0.4267244422829413,0.3723404255319149,0.3776595744680851,0.5531914893617021,0.4488753799392097,0.1799942004614962,0.4267244422829413
GPT-4.1 mini,cloud,bills,23,hybrid,test,eligible,release_revalidation_previously_seen,376,0.9388297872340424,23,15,0.3909574468085106,0.4015957446808511,0.4973404255319149,0.444369255948634,0.2068338154801005,0.4297037836703321,0.4107648725212464,0.4164305949008499,0.5297450424929179,0.4663025224338858,0.221399148380087,0.4468099706480479
GPT-4.1 mini,cloud,bills,23,initial,test,eligible,release_revalidation_previously_seen,376,0.9388297872340424,23,14,0.3882978723404255,0.3989361702127659,0.5,0.4437869822485207,0.2070599521136403,0.4274477839322514,0.4079320113314447,0.4135977337110481,0.5325779036827195,0.4656070295669284,0.2215611293887855,0.4444336235474535
GPT-4.1 mini,cloud,bills,23,direct_hybrid,test,eligible,release_revalidation_previously_seen,376,1.0,0,15,0.4388297872340425,0.4441489361702128,0.5292553191489362,0.4829816300430182,0.2352271555889457,0.4560121751615064,0.4388297872340425,0.4441489361702128,0.5292553191489362,0.4829816300430182,0.2352271555889457,0.4560121751615064
GPT-4.1 mini,cloud,bills,23,direct_initial,test,eligible,release_revalidation_previously_seen,376,1.0,0,14,0.4335106382978723,0.4388297872340425,0.5319148936170213,0.4809093558729233,0.2302391845056999,0.4502842352171793,0.4335106382978723,0.4388297872340425,0.5319148936170213,0.4809093558729233,0.2302391845056999,0.4502842352171793
