condition,generator,dataset,seed,method,n_documents,harmonic_purity,coverage,ari,nmi
compact,GPT-4.1 mini,bills,11,hybrid,376,0.3528002658915928,0.9388297872340424,0.162241864536688,0.3909168119940396
compact,GPT-4.1 mini,bills,11,initial,376,0.3516537564143606,0.9388297872340424,0.1646950533415115,0.3767892341102084
compact,GPT-4.1 mini,bills,11,direct_hybrid,376,0.3660562761714631,1.0,0.1837612182921514,0.412854575047573
compact,GPT-4.1 mini,bills,11,direct_initial,376,0.3747304431939994,1.0,0.1915494544510538,0.4079808622703827
compact,GPT-4.1 mini,bills,11,bertopic,376,0.1454949663746775,1.0,0.0105860969210734,0.1098066181312095
compact,GPT-4.1 mini,bills,11,kmeans,376,0.3758094733437939,1.0,0.1799942004614962,0.4267244422829413
compact,GPT-4.1 mini,bills,23,hybrid,376,0.4036908696406424,0.9388297872340424,0.2068338154801005,0.4297037836703321
compact,GPT-4.1 mini,bills,23,initial,376,0.4038250125308123,0.9388297872340424,0.2070599521136403,0.4274477839322514
compact,GPT-4.1 mini,bills,23,direct_hybrid,376,0.4291299248649802,1.0,0.2352271555889457,0.4560121751615064
compact,GPT-4.1 mini,bills,23,direct_initial,376,0.4241272000782048,1.0,0.2302391845056999,0.4502842352171793
compact,GPT-4.1 mini,bills,23,bertopic,376,0.1454949663746775,1.0,0.0105860969210734,0.1098066181312095
compact,GPT-4.1 mini,bills,23,kmeans,376,0.3892491074287388,1.0,0.1976399367176457,0.4467304154988376
compact,GPT-4.1 mini,bills,37,hybrid,376,0.3839056012786344,0.9388297872340424,0.1951651923502408,0.4061755748594065
compact,GPT-4.1 mini,bills,37,initial,376,0.3418361174869188,0.9388297872340424,0.1503206012573057,0.347623340097752
compact,GPT-4.1 mini,bills,37,direct_hybrid,376,0.3513576368888192,1.0,0.1658904822622441,0.3849972173389728
compact,GPT-4.1 mini,bills,37,direct_initial,376,0.3276898112706564,1.0,0.1454006827788005,0.348538321539413
compact,GPT-4.1 mini,bills,37,bertopic,376,0.1454949663746775,1.0,0.0105860969210734,0.1098066181312095
compact,GPT-4.1 mini,bills,37,kmeans,376,0.4312227831353618,1.0,0.2154813969588445,0.472710699811035
compact,GPT-4.1 mini,bills,53,hybrid,376,0.3253639680057826,0.9388297872340424,0.1366323179311256,0.3644364347524876
compact,GPT-4.1 mini,bills,53,initial,376,0.3120226287796516,0.9388297872340424,0.1316682212584089,0.3383061576806561
compact,GPT-4.1 mini,bills,53,direct_hybrid,376,0.3670565915963388,1.0,0.1619261861879913,0.3944536119858757
compact,GPT-4.1 mini,bills,53,direct_initial,376,0.3632311382591444,1.0,0.1767542071856984,0.3847252370737571
compact,GPT-4.1 mini,bills,53,bertopic,376,0.2193779956561791,0.875,0.0433965281053222,0.2439055277845649
compact,GPT-4.1 mini,bills,53,kmeans,376,0.4439114942869636,1.0,0.2238885152824696,0.4758742815171687
compact,GPT-4.1 mini,bills,71,hybrid,376,0.3577144669749314,0.9388297872340424,0.1582129899814801,0.377828277180794
compact,GPT-4.1 mini,bills,71,initial,376,0.3543586932797589,0.9388297872340424,0.1552520974159815,0.3710393426574863
compact,GPT-4.1 mini,bills,71,direct_hybrid,376,0.3903485269598399,1.0,0.1963464648060233,0.4124727623215506
compact,GPT-4.1 mini,bills,71,direct_initial,376,0.3759323257582434,1.0,0.1848185409789535,0.3962272307827782
compact,GPT-4.1 mini,bills,71,bertopic,376,0.1454949663746775,1.0,0.0105860969210734,0.1098066181312095
compact,GPT-4.1 mini,bills,71,kmeans,376,0.3973123782548814,1.0,0.2177118340341026,0.4498591528109131
compact,GPT-4.1 mini,sib200,11,hybrid,140,0.4511975755556093,0.9642857142857144,0.2054674022845597,0.3554857976133493
compact,GPT-4.1 mini,sib200,11,initial,140,0.4511975755556093,0.9642857142857144,0.2054674022845597,0.3554857976133493
compact,GPT-4.1 mini,sib200,11,direct_hybrid,140,0.543157592459918,1.0,0.2578335302635904,0.4234414270382357
compact,GPT-4.1 mini,sib200,11,direct_initial,140,0.543157592459918,1.0,0.2578335302635904,0.4234414270382357
compact,GPT-4.1 mini,sib200,11,bertopic,140,0.2504511278195488,0.0571428571428571,0.0022752441167001,0.0816095492240706
compact,GPT-4.1 mini,sib200,11,kmeans,140,0.4837838280369914,1.0,0.1987011091652072,0.3739631524863594
compact,GPT-4.1 mini,sib200,23,hybrid,140,0.4841259458606397,0.9642857142857144,0.2344116636394875,0.3886386868248319
compact,GPT-4.1 mini,sib200,23,initial,140,0.4841259458606397,0.9642857142857144,0.2344116636394875,0.3886386868248319
compact,GPT-4.1 mini,sib200,23,direct_hybrid,140,0.5238804019558531,1.0,0.241433091750562,0.4254811316017036
