condition,generator,dataset,seed,method,n_documents,harmonic_purity,coverage,ari,nmi,final_topics
compact,GPT-4.1 mini,bills,11,hybrid,376,0.3528002658915928,0.9388297872340424,0.162241864536688,0.3909168119940396,14
compact,GPT-4.1 mini,bills,23,hybrid,376,0.4036908696406424,0.9388297872340424,0.2068338154801005,0.4297037836703321,15
compact,GPT-4.1 mini,bills,37,hybrid,376,0.3839056012786344,0.9388297872340424,0.1951651923502408,0.4061755748594065,14
compact,GPT-4.1 mini,bills,53,hybrid,376,0.3253639680057826,0.9388297872340424,0.1366323179311256,0.3644364347524876,14
compact,GPT-4.1 mini,bills,71,hybrid,376,0.3577144669749314,0.9388297872340424,0.1582129899814801,0.377828277180794,11
compact,GPT-4.1 mini,sib200,11,hybrid,140,0.4511975755556093,0.9642857142857144,0.2054674022845597,0.3554857976133493,9
compact,GPT-4.1 mini,sib200,23,hybrid,140,0.4841259458606397,0.9642857142857144,0.2344116636394875,0.3886386868248319,10
compact,GPT-4.1 mini,sib200,37,hybrid,140,0.5671560135573769,0.9642857142857144,0.3294241321472931,0.4664102019926388,10
compact,GPT-4.1 mini,sib200,53,hybrid,140,0.4825739478181209,0.9642857142857144,0.2210955052108246,0.369934167738137,9
compact,GPT-4.1 mini,sib200,71,hybrid,140,0.5194426136404625,0.9642857142857144,0.2808228206852006,0.4096720987665395,11
compact,GPT-4.1 mini,massive,11,hybrid,360,0.5353705065857425,0.95,0.3671919362048474,0.5942473985492577,11
compact,GPT-4.1 mini,massive,23,hybrid,360,0.4677539529023134,0.95,0.271033846190887,0.5369483992202404,11
compact,GPT-4.1 mini,massive,37,hybrid,360,0.4551833626277888,0.95,0.2915267209167775,0.5396756471618599,11
compact,GPT-4.1 mini,massive,53,hybrid,360,0.4982079760041699,0.95,0.3008252520720691,0.5522959040380694,11
compact,GPT-4.1 mini,massive,71,hybrid,360,0.491391131500511,0.95,0.3019506740211596,0.56213900608105,14
compact,GPT-4.1 mini,ag_news,11,hybrid,799,0.7520513409403424,1.0,0.4853586505459486,0.4705366331235631,12
compact,GPT-4.1 mini,ag_news,23,hybrid,799,0.7642892195407002,1.0,0.5165757487722706,0.4940506695781801,9
compact,GPT-4.1 mini,ag_news,37,hybrid,799,0.729248831244193,1.0,0.5211256794837837,0.509103017898816,8
compact,GPT-4.1 mini,ag_news,53,hybrid,799,0.6559428568108091,1.0,0.4138366732162699,0.4660668905180093,11
compact,GPT-4.1 mini,ag_news,71,hybrid,799,0.6871352588703901,1.0,0.4645321966336649,0.4780245026261144,13
