condition,generator,dataset,final_topics_mean,final_topics_std,harmonic_purity_mean,harmonic_purity_std,coverage_mean,coverage_std,ari_mean,ari_std,nmi_mean,nmi_std
compact,GPT-4.1 mini,ag_news,10.6,2.073644135332772,0.7177335014812869,0.0453654274431039,1.0,0.0,0.4802857897303875,0.04380140528610087,0.48355634274893655,0.017809818500084718
compact,GPT-4.1 mini,bills,13.6,1.51657508881031,0.36469503435831674,0.030111740522031725,0.9388297872340423,0.0,0.171817236055927,0.028661950440109503,0.3938121764914119,0.025337045311895776
compact,GPT-4.1 mini,massive,11.6,1.3416407864998738,0.4895813859241051,0.03095964165426299,0.95,0.0,0.3065056858811481,0.036119445047197524,0.5570612710100955,0.02311973034777437
compact,GPT-4.1 mini,sib200,9.8,0.8366600265340753,0.5008992192864419,0.044218864544956146,0.9642857142857144,0.0,0.2542443047934731,0.050571204096883024,0.3980281905870993,0.04329830303323443
compact,Luna,ag_news,16.6,2.302172886644268,0.626163064880729,0.05127596175020594,1.0,0.0,0.40219422749579703,0.055485832725568174,0.4755345106229035,0.015451259922939175
compact,Luna,bills,21.8,1.9235384061671346,0.41809570776114613,0.01542336240201708,0.9388297872340423,0.0,0.23144423501157715,0.015129776100735133,0.46936670154563515,0.01596498323329083
compact,Luna,massive,25.2,2.6832815729997477,0.6608097566929103,0.023591707277308527,0.95,0.0,0.47496592276833616,0.025491530427088346,0.6923806341486125,0.01380317735777372
compact,Luna,sib200,16.0,1.224744871391589,0.4758949573626399,0.014527326865006199,0.9642857142857144,0.0,0.19852895386027997,0.014741884386374155,0.4061012959960301,0.015298534026808476
neutral,GPT-4.1 mini,ag_news,11.6,1.140175425099138,0.6824835532931341,0.029452233605267643,1.0,0.0,0.4444319633053236,0.043502678966649375,0.464858437749659,0.016530997074262973
neutral,GPT-4.1 mini,bills,16.8,2.949576240750525,0.39381118205138443,0.034802571548824345,0.9388297872340423,0.0,0.1923523127031975,0.022641734651634052,0.42838706478991806,0.028892088546964758
neutral,GPT-4.1 mini,massive,21.0,3.391164991562634,0.5981230898312798,0.02458578832401526,0.95,0.0,0.4038783259684431,0.030612366075838185,0.6308302594999823,0.015882402526754037
neutral,GPT-4.1 mini,sib200,10.2,1.0954451150103326,0.4888865528559971,0.04030620468547986,0.9642857142857144,0.0,0.21493950800810188,0.03508768550231412,0.3721875235756643,0.024722935984135205
neutral,Luna,ag_news,22.6,1.6733200530681511,0.49318347142157365,0.053163675151542134,1.0,0.0,0.28259671217875704,0.041212780252612505,0.4384436755128007,0.014366720534563431
neutral,Luna,bills,25.0,3.3166247903553994,0.431625506821357,0.021054531832071913,0.9393617021276593,0.0011893978603722867,0.2335722066318656,0.024083792322220295,0.49153013798719447,0.013122944811634105
neutral,Luna,massive,28.0,1.8708286933869707,0.6676138693940136,0.01394821086355718,0.95,0.0,0.48952971897595043,0.02087427534540624,0.703445316200283,0.012398596989202641
neutral,Luna,sib200,19.0,3.605551275463989,0.47069819861799084,0.04019474362113003,0.9642857142857144,0.0,0.19802428039243242,0.04405681568584282,0.4143921159899322,0.005258644943283726
