,,,hmp,hmp,coverage,coverage,ari,ari,nmi,nmi
,,,mean,std,mean,std,mean,std,mean,std
generator,dataset,scope,,,,,,,,
GPT-4.1 mini,ag_news,all_eligible,0.1795004321319742,0.0382956335549868,0.230287859824781,0.04092060757014218,0.24615401769276293,0.035106632559636225,0.16886392545367862,0.01902484847339106
GPT-4.1 mini,ag_news,common_assigned_diagnostic,0.06227150451798573,0.032908844746579215,0.0,0.0,0.08750268354598364,0.03075952759692678,0.07172206671233819,0.01593937336069734
GPT-4.1 mini,bills,all_eligible,0.0007081295855600356,0.009620587090718996,0.1632978723404255,0.03183722819499026,0.02288884011689591,0.005240222826159102,0.002857005619957853,0.010446741277805469
GPT-4.1 mini,bills,common_assigned_diagnostic,0.009197036589068463,0.008930896444419611,0.0,0.0,0.004587063079507831,0.008399320840551054,0.012629924510327429,0.006429664645078268
GPT-4.1 mini,massive,all_eligible,0.03473440923107873,0.0069481086847566,0.22888888888888886,0.019204873352715122,0.11886730198952622,0.02156809147215399,0.08652693256019472,0.01113684501357298
GPT-4.1 mini,massive,common_assigned_diagnostic,0.010854850596481325,0.004562790984988211,0.0,0.0,0.009900691251558801,0.005747233216592409,0.018012029378884974,0.011626648564540782
GPT-4.1 mini,sib200,all_eligible,0.01501728018452082,0.03640603475930653,0.26571428571428574,0.02738612787525836,0.09218817561379863,0.03162017035696259,0.03287703770078918,0.03020200787441791
GPT-4.1 mini,sib200,common_assigned_diagnostic,-0.006141143854559039,0.04317629651647244,0.0,0.0,0.012813486302763999,0.03669276732053609,0.015640810702317598,0.03793221560910412
Luna,ag_news,all_eligible,0.14381500679640893,0.02121103792207123,0.14167709637046308,0.02422674494935085,0.1794661896666326,0.040582494923705005,0.11102307700102199,0.027716835547020792
Luna,ag_news,common_assigned_diagnostic,0.07516648590558027,0.015861030854284554,0.0,0.0,0.07869142109491703,0.014759864394208622,0.055189016029125314,0.016819942243470717
Luna,bills,all_eligible,-0.004733302413920204,0.021516468993313553,0.07925531914893613,0.027472258528971727,0.025443744748097415,0.017450740918618764,0.007679700517975241,0.015195887227022718
Luna,bills,common_assigned_diagnostic,-0.006108362957329106,0.02223795004193057,0.0,0.0,0.0018977816351309017,0.018522759151688,0.0005830221940398839,0.018673902687535143
Luna,massive,all_eligible,0.023835753154932783,0.009755347848010111,0.10722222222222215,0.01220326813138267,0.09585790764129645,0.023584514387844497,0.03804822061416271,0.01140312210801649
Luna,massive,common_assigned_diagnostic,0.008786641367782465,0.006362356048703711,0.0,0.0,0.011467704235510712,0.010499968321345749,0.010739246990558903,0.006413041343545732
Luna,sib200,all_eligible,0.02691215849346207,0.01985117882189891,0.1542857142857143,0.008144110179279528,0.047503097800413535,0.008592478114659251,0.009058454687029505,0.013083012189020055
Luna,sib200,common_assigned_diagnostic,-0.0016941590896614954,0.03178388570340686,0.0,0.0,-0.003927845559915194,0.025771453750612128,-0.017891863801909224,0.018329758500245607
