generator,dataset,seed,method,n_documents,coverage,harmonic_purity,ari,nmi,topicgpt_weighted_best_f1,legacy_global_hmp
GPT-4.1 mini,bills,11,hybrid,376,0.9388297872340424,0.3528002658915928,0.162241864536688,0.3909168119940396,0.3528002658915928,0.4049052473147704
GPT-4.1 mini,bills,11,initial,376,0.9388297872340424,0.3516537564143606,0.1646950533415115,0.3767892341102084,0.3516537564143606,0.4038190482582723
GPT-4.1 mini,bills,11,direct_hybrid,376,1.0,0.3660562761714631,0.1837612182921514,0.412854575047573,0.3660562761714631,0.4180382711093269
GPT-4.1 mini,bills,11,direct_initial,376,1.0,0.3747304431939994,0.1915494544510538,0.4079808622703827,0.3747304431939994,0.4467033297271306
GPT-4.1 mini,bills,11,bertopic,376,1.0,0.1454949663746775,0.0105860969210734,0.1098066181312095,0.1454949663746775,0.1876658169900639
GPT-4.1 mini,bills,11,kmeans,376,1.0,0.3758094733437939,0.1799942004614962,0.4267244422829413,0.3758094733437939,0.4488753799392097
GPT-4.1 mini,bills,23,hybrid,376,0.9388297872340424,0.4036908696406424,0.2068338154801005,0.4297037836703321,0.4036908696406424,0.444369255948634
GPT-4.1 mini,bills,23,initial,376,0.9388297872340424,0.4038250125308123,0.2070599521136403,0.4274477839322514,0.4038250125308123,0.4437869822485207
GPT-4.1 mini,bills,23,direct_hybrid,376,1.0,0.4291299248649802,0.2352271555889457,0.4560121751615064,0.4291299248649802,0.4829816300430182
GPT-4.1 mini,bills,23,direct_initial,376,1.0,0.4241272000782048,0.2302391845056999,0.4502842352171793,0.4241272000782048,0.4809093558729233
GPT-4.1 mini,bills,23,bertopic,376,1.0,0.1454949663746775,0.0105860969210734,0.1098066181312095,0.1454949663746775,0.1876658169900639
GPT-4.1 mini,bills,23,kmeans,376,1.0,0.3892491074287388,0.1976399367176457,0.4467304154988376,0.3892491074287388,0.4346596387478306
GPT-4.1 mini,bills,37,hybrid,376,0.9388297872340424,0.3839056012786344,0.1951651923502408,0.4061755748594065,0.3839056012786344,0.4340489811660346
GPT-4.1 mini,bills,37,initial,376,0.9388297872340424,0.3418361174869188,0.1503206012573057,0.347623340097752,0.3418361174869188,0.3931665396077344
GPT-4.1 mini,bills,37,direct_hybrid,376,1.0,0.3513576368888192,0.1658904822622441,0.3849972173389728,0.3513576368888192,0.3994645624911934
GPT-4.1 mini,bills,37,direct_initial,376,1.0,0.3276898112706564,0.1454006827788005,0.348538321539413,0.3276898112706564,0.3948066073006593
GPT-4.1 mini,bills,37,bertopic,376,1.0,0.1454949663746775,0.0105860969210734,0.1098066181312095,0.1454949663746775,0.1876658169900639
GPT-4.1 mini,bills,37,kmeans,376,1.0,0.4312227831353618,0.2154813969588445,0.472710699811035,0.4312227831353618,0.4813181110534509
GPT-4.1 mini,bills,53,hybrid,376,0.9388297872340424,0.3253639680057826,0.1366323179311256,0.3644364347524876,0.3253639680057826,0.3732084810874704
GPT-4.1 mini,bills,53,initial,376,0.9388297872340424,0.3120226287796516,0.1316682212584089,0.3383061576806561,0.3120226287796516,0.3635805683678024
GPT-4.1 mini,bills,53,direct_hybrid,376,1.0,0.3670565915963388,0.1619261861879913,0.3944536119858757,0.3670565915963388,0.4144909054298946
GPT-4.1 mini,bills,53,direct_initial,376,1.0,0.3632311382591444,0.1767542071856984,0.3847252370737571,0.3632311382591444,0.4376589541591713
GPT-4.1 mini,bills,53,bertopic,376,0.875,0.2193779956561791,0.0433965281053222,0.2439055277845649,0.2193779956561791,0.2702419119790148
GPT-4.1 mini,bills,53,kmeans,376,1.0,0.4439114942869636,0.2238885152824696,0.4758742815171687,0.4439114942869636,0.4955650367708977
GPT-4.1 mini,bills,71,hybrid,376,0.9388297872340424,0.3577144669749314,0.1582129899814801,0.377828277180794,0.3577144669749314,0.405172999796071
GPT-4.1 mini,bills,71,initial,376,0.9388297872340424,0.3543586932797589,0.1552520974159815,0.3710393426574863,0.3543586932797589,0.4033716266739174
GPT-4.1 mini,bills,71,direct_hybrid,376,1.0,0.3903485269598399,0.1963464648060233,0.4124727623215506,0.3903485269598399,0.4581360503446209
GPT-4.1 mini,bills,71,direct_initial,376,1.0,0.3759323257582434,0.1848185409789535,0.3962272307827782,0.3759323257582434,0.451271186440678
GPT-4.1 mini,bills,71,bertopic,376,1.0,0.1454949663746775,0.0105860969210734,0.1098066181312095,0.1454949663746775,0.1876658169900639
GPT-4.1 mini,bills,71,kmeans,376,1.0,0.3973123782548814,0.2177118340341026,0.4498591528109131,0.3973123782548814,0.473389879240943
GPT-4.1 mini,sib200,11,hybrid,140,0.9642857142857144,0.4511975755556093,0.2054674022845597,0.3554857976133493,0.4511975755556093,0.4886339937434827
GPT-4.1 mini,sib200,11,initial,140,0.9642857142857144,0.4511975755556093,0.2054674022845597,0.3554857976133493,0.4511975755556093,0.4886339937434827
GPT-4.1 mini,sib200,11,direct_hybrid,140,1.0,0.543157592459918,0.2578335302635904,0.4234414270382357,0.543157592459918,0.5567765567765567
GPT-4.1 mini,sib200,11,direct_initial,140,1.0,0.543157592459918,0.2578335302635904,0.4234414270382357,0.543157592459918,0.5567765567765567
GPT-4.1 mini,sib200,11,bertopic,140,0.0571428571428571,0.2504511278195488,0.0022752441167001,0.0816095492240706,0.2504511278195488,0.3103074141048824
GPT-4.1 mini,sib200,11,kmeans,140,1.0,0.4837838280369914,0.1987011091652072,0.3739631524863594,0.4837838280369914,0.4998979591836734
GPT-4.1 mini,sib200,23,hybrid,140,0.9642857142857144,0.4841259458606397,0.2344116636394875,0.3886386868248319,0.4841259458606397,0.4974489795918367
GPT-4.1 mini,sib200,23,initial,140,0.9642857142857144,0.4841259458606397,0.2344116636394875,0.3886386868248319,0.4841259458606397,0.4974489795918367
GPT-4.1 mini,sib200,23,direct_hybrid,140,1.0,0.5238804019558531,0.241433091750562,0.4254811316017036,0.5238804019558531,0.552995391705069
GPT-4.1 mini,sib200,23,direct_initial,140,1.0,0.5238804019558531,0.241433091750562,0.4254811316017036,0.5238804019558531,0.552995391705069
GPT-4.1 mini,sib200,23,bertopic,140,0.1214285714285714,0.2627474826963318,0.0042513550669157,0.0904734948161464,0.2627474826963318,0.3258278145695364
GPT-4.1 mini,sib200,23,kmeans,140,1.0,0.4787322282442647,0.2015219135890579,0.401221046608877,0.4787322282442647,0.5046277665995975
GPT-4.1 mini,sib200,37,hybrid,140,0.9642857142857144,0.5671560135573769,0.3294241321472931,0.4664102019926388,0.5671560135573769,0.5825783972125436
GPT-4.1 mini,sib200,37,initial,140,0.9642857142857144,0.5671560135573769,0.3294241321472931,0.4664102019926388,0.5671560135573769,0.5825783972125436
GPT-4.1 mini,sib200,37,direct_hybrid,140,1.0,0.6288085104317233,0.3206345249263591,0.4732474048851723,0.6288085104317233,0.6122093023255815
GPT-4.1 mini,sib200,37,direct_initial,140,1.0,0.6288085104317233,0.3206345249263591,0.4732474048851723,0.6288085104317233,0.6122093023255815
GPT-4.1 mini,sib200,37,bertopic,140,0.0357142857142857,0.2547786014826688,0.0015398350410759,0.0671224539525357,0.2547786014826688,0.3013392857142857
