generator,dataset,method,runs,frozen_hmp_mean,frozen_hmp_sd,topicgpt_mean,topicgpt_sd,coverage_mean
GPT-4.1 mini,bills,hybrid,5,0.4123409930625961,0.02799584927616408,0.36469503435831674,0.030111740522031763,0.9388297872340425
GPT-4.1 mini,bills,initial,5,0.4015449530312495,0.02874191013337793,0.35273924169830045,0.033129584846531654,0.9388297872340425
GPT-4.1 mini,bills,direct_hybrid,5,0.4346222838836108,0.034669478023902814,0.38078979129628826,0.030414087590793667,1.0
GPT-4.1 mini,bills,direct_initial,5,0.4422698867001126,0.031095461816387237,0.37314218371204977,0.034546802808645444,1.0
GPT-4.1 mini,bills,bertopic,5,0.20418103598785414,0.0369291523423548,0.16027157223097782,0.03304149517140904,0.975
GPT-4.1 mini,bills,kmeans,5,0.4667616091504664,0.024677504198452885,0.40750104728994796,0.028851947709946566,1.0
GPT-4.1 mini,sib200,hybrid,5,0.5267167280792483,0.038589830837473624,0.5008992192864419,0.044218864544956146,0.9642857142857142
GPT-4.1 mini,sib200,initial,5,0.5267167280792483,0.038589830837473624,0.5008992192864419,0.044218864544956146,0.9642857142857142
GPT-4.1 mini,sib200,direct_hybrid,5,0.5770037138055817,0.025344698990701946,0.5801491670988701,0.04535252601047898,1.0
GPT-4.1 mini,sib200,direct_initial,5,0.5757420293822206,0.024437778103002888,0.5794368821849046,0.04468541836912477,1.0
GPT-4.1 mini,sib200,bertopic,5,0.31156881798638747,0.010983334845622113,0.2542695302166549,0.005454455423564103,0.06571428571428571
GPT-4.1 mini,sib200,kmeans,5,0.5342149925066034,0.05237414332575416,0.5226445932396112,0.05313967932368104,1.0
GPT-4.1 mini,massive,hybrid,5,0.5471800909481799,0.03359099743191929,0.4895813859241051,0.03095964165426299,0.95
GPT-4.1 mini,massive,initial,5,0.5446349177400831,0.03606578908034129,0.48767137619186746,0.03285526109649735,0.95
GPT-4.1 mini,massive,direct_hybrid,5,0.5046466773603631,0.04801981217765755,0.4481369086164776,0.05169724425652636,1.0
GPT-4.1 mini,massive,direct_initial,5,0.4939861528645933,0.04779061311849864,0.43627738128054705,0.0491960287438927,1.0
GPT-4.1 mini,massive,bertopic,5,0.6113442438202746,0.015737516753166855,0.5866797321280932,0.03195046193279141,0.6922222222222223
GPT-4.1 mini,massive,kmeans,5,0.6186167136369696,0.04680870047394802,0.5769378383008924,0.042435507918048704,1.0
GPT-4.1 mini,ag_news,hybrid,5,0.7122081765695382,0.04335179036777544,0.7177335014812869,0.04536542744310395,1.0
GPT-4.1 mini,ag_news,initial,5,0.7197329855544906,0.04750821816393866,0.7230377851082699,0.04752531653311807,1.0
GPT-4.1 mini,ag_news,direct_hybrid,5,0.7031514684091495,0.05264941249418066,0.6886485544752741,0.06970403497321336,1.0
GPT-4.1 mini,ag_news,direct_initial,5,0.7067566814469017,0.05449706037043262,0.6918128840934911,0.070812176631407,1.0
GPT-4.1 mini,ag_news,bertopic,5,0.6595813563258003,0.05301209514835964,0.5691620830365695,0.060604331430531046,0.6888610763454318
GPT-4.1 mini,ag_news,kmeans,5,0.598941717594901,0.06952760790467546,0.6101831943822298,0.07586910896937715,1.0
Luna,massive,hybrid,5,0.6860840338976849,0.02034897994041122,0.6608097566929103,0.023591707277308516,0.95
Luna,massive,initial,5,0.6860840338976849,0.02034897994041122,0.6608097566929103,0.023591707277308516,0.95
Luna,massive,direct_hybrid,5,0.6937470108319221,0.013527224409255134,0.6671174091749205,0.0183087715072925,1.0
Luna,massive,direct_initial,5,0.6937470108319221,0.013527224409255134,0.6671174091749205,0.0183087715072925,1.0
Luna,massive,bertopic,5,0.6113442438202746,0.015737516753166862,0.5866797321280932,0.03195046193279144,0.6922222222222223
Luna,massive,kmeans,5,0.6673371336717306,0.020812365401112108,0.6760205986386886,0.014882897640520316,1.0
Luna,bills,hybrid,5,0.4599937374958737,0.013546425025285042,0.41809570776114624,0.01542336240201708,0.9388297872340425
Luna,bills,initial,5,0.4575052830910041,0.011971922799836669,0.41601673614852885,0.014305786604298407,0.9388297872340425
Luna,bills,direct_hybrid,5,0.49161604614794807,0.021811977730081172,0.45810826708000024,0.027790918601518323,1.0
Luna,bills,direct_initial,5,0.490049543291712,0.012961257508492351,0.4523612775957265,0.018132576301246945,1.0
Luna,bills,bertopic,5,0.20418103598785414,0.0369291523423548,0.16027157223097782,0.03304149517140904,0.975
Luna,bills,kmeans,5,0.46741629076871083,0.028258398716495787,0.41724313019400394,0.029697921978623813,1.0
Luna,ag_news,hybrid,5,0.6379201667428116,0.04747850054575411,0.626163064880729,0.05127596175020594,1.0
Luna,ag_news,initial,5,0.6379201667428116,0.04747850054575411,0.626163064880729,0.05127596175020594,1.0
Luna,ag_news,direct_hybrid,5,0.5884971588924633,0.03435365733003178,0.588254979378767,0.0460719923512029,1.0
Luna,ag_news,direct_initial,5,0.5884971588924633,0.03435365733003178,0.588254979378767,0.0460719923512029,1.0
Luna,ag_news,bertopic,5,0.6595813563258003,0.05301209514835967,0.5691620830365695,0.06060433143053103,0.6888610763454318
Luna,ag_news,kmeans,5,0.47474910761341604,0.0510645094082207,0.4795021106192278,0.05018540666559332,1.0
Luna,sib200,hybrid,5,0.4705584859787482,0.01982039798700997,0.4758949573626399,0.014527326865006171,0.9642857142857142
Luna,sib200,initial,5,0.4705584859787482,0.01982039798700997,0.4758949573626399,0.014527326865006171,0.9642857142857142
Luna,sib200,direct_hybrid,5,0.5565648266938356,0.016648226327059333,0.5655205588717996,0.025519677259090125,1.0
Luna,sib200,direct_initial,5,0.5565648266938356,0.016648226327059333,0.5655205588717996,0.025519677259090125,1.0
Luna,sib200,bertopic,5,0.31156881798638747,0.010983334845622084,0.2542695302166549,0.005454455423564109,0.06571428571428571
Luna,sib200,kmeans,5,0.5117916894403541,0.04866387801668372,0.50664788996995,0.044001379601298705,1.0
